FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1726790,100% PASTA,Restaurant/Cafe/Canteen,"100 - 101 Gloucester Green, Oxford, Oxfordshire",OX1 2DF,0,0,0
718878,2 North Parade Stores,Retailers - other,"2 North Parade Avenue, Oxford, Oxfordshire",OX2 6LX,0,0,5
1768877,7 Gates Damascus Cafe,Restaurant/Cafe/Canteen,"51A Cowley Road, Oxford, Oxfordshire",OX4 1HP,0,5,5
1002729,A Taste Of China,Takeaway/sandwich shop,"51 Covered Market, Market Street, Oxford",OX1 3DX,5,10,10
1134559,Acorn News,Retailers - other,"49 St Nicholas Road, Oxford, Oxfordshire",OX4 4PN,5,5,5
1150291,Acropolis Greek Taverna,Restaurant/Cafe/Canteen,"146 London Road, Headington, Oxford",OX3 9ED,0,0,0
268380,Adams Guest House,Hotel/bed & breakfast/guest house,"302 Banbury Road, Oxford, Oxfordshire",OX2 7ED,0,0,0
1584151,Adria,Restaurant/Cafe/Canteen,"6 Windmill Road, Oxford, Oxfordshire",OX3 7BX,5,0,10
1766803,Afghan Cuisine,Restaurant/Cafe/Canteen,"12 Cherwell Drive, Oxford, Oxfordshire",OX3 0LY,5,0,5
848723,Al Amin,Retailers - other,"216 Cowley Road, Oxford, Oxfordshire",OX4 1UQ,5,10,10
268934,Al-Andalus,Restaurant/Cafe/Canteen,"10 Little Clarendon Street, Oxford, Oxfordshire",OX1 2HP,0,5,0
1642989,Alban London,Restaurant/Cafe/Canteen,"Unit 7, 59 - 63 Cowley Road, Oxford",OX4 1HR,0,0,0
268378,Alcock's Butchers And Fishmongers,Retailers - other,"273A Banbury Road, Oxford, Oxfordshire",OX2 7JF,0,0,0
269262,Alden's Fishmarket,Retailers - other,"Unit 7, Ferry Mills, Osney Mead",OX2 0ES,0,0,0
1011220,Alden's Meatmaster,Retailers - other,"Unit 2, Centremead, Osney Mead",OX2 0ES,5,0,5
268534,Alders Butchers,Retailers - other,"224 Cowley Road, Oxford, Oxfordshire",OX4 1UH,5,5,0
269186,Aldi,Retailers - supermarkets/hypermarkets,"Botley Road, Oxford, Oxfordshire",OX2 0HA,0,0,0
974651,Aldi,Retailers - supermarkets/hypermarkets,"Horspath Driftway, Oxford, Oxfordshire",OX3 7JG,0,0,0
1019659,Alice's Fish And Chips,Takeaway/sandwich shop,"7 Atkyns Road, Oxford, Oxfordshire",OX3 8RA,0,5,5
1616669,All Mart,Retailers - other,"139 - 140 High Street, Oxford, Oxfordshire",OX1 4DN,N/A,N/A,N/A
1747306,Allied Pharmacy,Retailers - other,"Rowlands Pharmacy, Donnington Health Centre, 1 Henley Avenue",OX4 4DH,N/A,N/A,N/A
1735593,Allied Pharmacy Cowley,Retailers - other,"Rowlands Pharmacy, 17 Ivy Close, Oxford",OX4 2NB,N/A,N/A,N/A
269430,Al-Shami Lebanese Restaurant And Richmond Hotel,Restaurant/Cafe/Canteen,"24-25 Walton Crescent, Oxford, Oxfordshire",OX1 2JG,5,0,5
268752,Alternative Tuck Shop,Restaurant/Cafe/Canteen,"24 Holywell Street, Oxford, Oxfordshire",OX1 3SB,0,0,0
1680804,Ampleforth Arms,Pub/bar/nightclub,"53 Collinwood Road, Oxford, Oxfordshire",OX3 8HH,5,0,0
1378231,Angels Cocktail Bar,Pub/bar/nightclub,"Unit 3, Dartington House, 55 Little Clarendon Street",OX1 2HS,5,5,5
269224,Angrid Thai Canteen,Restaurant/Cafe/Canteen,"Unit D, Threeways House, George Street",OX1 2BJ,0,0,0
1084997,Antep Kitchen,Restaurant/Cafe/Canteen,"228 - 230 Cowley Road, Oxford, Oxfordshire",OX4 1UH,5,5,5
949738,Arbequina,Restaurant/Cafe/Canteen,"74 Cowley Road, Oxford, Oxfordshire",OX4 1JB,5,5,5
1743488,Ark-T Centre,Retailers - other,"101 Pound Way, Oxford, Oxfordshire",OX4 3XH,N/A,N/A,N/A
938228,Artisan Cafe,Restaurant/Cafe/Canteen,"98 St Aldate's, Oxford, Oxfordshire",OX1 1BT,0,0,0
759564,Asda Living,Retailers - other,"Unit 4, Templars Shopping Park, Between Towns Road",OX4 3JP,5,0,5
1743480,ASF HARD HAT CATERING,Restaurant/Cafe/Canteen,"Oxford North Northern Gateway Land Adjacent A44 A40 A34 And Wolvercote Roundabout, A40 Section From Cherwell District Council Boundary To Wolvercote Roundabout, Oxford",OX2 8JR,0,0,0
