FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1680804,Ampleforth Arms,Pub/bar/nightclub,"53 Collinwood Road, Oxford, Oxfordshire",OX3 8HH,5,0,0
1378231,Angels Cocktail Bar,Pub/bar/nightclub,"Unit 3, Dartington House, 55 Little Clarendon Street",OX1 2HS,5,5,5
932831,Atik,Pub/bar/nightclub,"Cantay House, 36 - 39 Park End Street, Oxford",OX1 1JD,5,5,10
268342,Bear Inn,Pub/bar/nightclub,"6 Alfred Street, Oxford, Oxfordshire",OX1 4EH,0,0,0
1672520,Bigfoot,Pub/bar/nightclub,"98 Cowley Road, Oxford, Oxfordshire",OX4 1JE,0,0,0
1072121,Blackbird Leys Bowls Club,Pub/bar/nightclub,"The Pavilion, Cuddesdon Way, Oxford",OX4 6EU,0,5,5
1011218,BrewDog Oxford,Pub/bar/nightclub,"119 Cowley Road, Oxford, Oxfordshire",OX4 1HU,0,0,0
1635453,Brookes Bar,Pub/bar/nightclub,"Oxford Brookes University, Gipsy Lane, Oxford",OX3 0BP,0,0,0
269402,Cape Of Good Hope,Pub/bar/nightclub,"Iffley Road, Oxford, Oxfordshire",OX4 1EA,0,0,0
502628,Cow And Creek,Pub/bar/nightclub,"The Cow And Creek, 12 New Road, Oxford",OX1 1LT,0,0,0
848732,Cowley Retreat,Pub/bar/nightclub,"172 Cowley Road, Oxford, Oxfordshire",OX4 1UE,5,0,5
269395,Cricketers Arms,Pub/bar/nightclub,"Temple Road, Oxford, Oxfordshire",OX4 2EZ,0,0,0
634002,Deep Hall,Pub/bar/nightclub,"Lincoln College, Turl Street, Oxford",OX1 3DR,5,5,5
268837,East Oxford Conservative Club,Pub/bar/nightclub,"62 James Street, Oxford, Oxfordshire",OX4 1EU,0,0,0
268804,Everest Nepalese Restaurant And Bar,Pub/bar/nightclub,"Donnington Arms, 147 - 151 Howard Street, Oxford",OX4 3AZ,0,5,0
269310,Frewen Club,Pub/bar/nightclub,"98 St Aldate's, Oxford, Oxfordshire",OX1 1BT,0,0,0
1708494,Glamorous Oxford,Pub/bar/nightclub,"15 St Clement's Street, Oxford, Oxfordshire",OX4 1AB,0,0,0
1042851,Golden Ball,Pub/bar/nightclub,"The Golden Ball, 2 College Lane, Oxford",OX4 4LQ,0,0,0
269344,Half Moon,Pub/bar/nightclub,"The Half Moon, 17-18 St Clement's Street, Oxford",OX4 1AB,0,0,0
1042850,Hank's,Pub/bar/nightclub,"36-37 Queen Street, Oxford, Oxfordshire",OX1 1ER,0,0,0
268597,Head Of The River,Pub/bar/nightclub,"Head Of The River PH, Folly Bridge, Oxford",OX1 4LB,5,10,5
269480,Headington Conservative Club,Pub/bar/nightclub,"The Conservative Club, 60 Windmill Road, Oxford",OX3 7BZ,0,0,5
268836,James Street Tavern,Pub/bar/nightclub,"47-48 James Street, Oxford, Oxfordshire",OX4 1EU,0,5,5
269436,Jericho Tavern,Pub/bar/nightclub,"The Jericho Tavern, 56 Walton Street, Oxford",OX2 6AE,5,0,0
268707,Jesus College Sports Ground,Pub/bar/nightclub,"Bartlemas Close, Oxford, Oxfordshire",OX4 2AB,0,0,0
1656365,Jolly Postboys,Pub/bar/nightclub,"Jolly Post Boys, 22 Florence Park Road, Oxford",OX4 3PH,5,5,0
269434,Jude The Obscure,Pub/bar/nightclub,"54 Walton Street, Oxford, Oxfordshire",OX2 6AE,0,0,0
1029640,Kiss,Pub/bar/nightclub,"39 Park End Street, Oxford, Oxfordshire",OX1 1JD,5,0,10
