FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1726790,100% PASTA,Restaurant/Cafe/Canteen,"100 - 101 Gloucester Green, Oxford, Oxfordshire",OX1 2DF,0,0,0
1768877,7 Gates Damascus Cafe,Restaurant/Cafe/Canteen,"51A Cowley Road, Oxford, Oxfordshire",OX4 1HP,0,5,5
1150291,Acropolis Greek Taverna,Restaurant/Cafe/Canteen,"146 London Road, Headington, Oxford",OX3 9ED,0,0,0
1584151,Adria,Restaurant/Cafe/Canteen,"6 Windmill Road, Oxford, Oxfordshire",OX3 7BX,5,0,10
1766803,Afghan Cuisine,Restaurant/Cafe/Canteen,"12 Cherwell Drive, Oxford, Oxfordshire",OX3 0LY,5,0,5
268934,Al-Andalus,Restaurant/Cafe/Canteen,"10 Little Clarendon Street, Oxford, Oxfordshire",OX1 2HP,0,5,0
1642989,Alban London,Restaurant/Cafe/Canteen,"Unit 7, 59 - 63 Cowley Road, Oxford",OX4 1HR,0,0,0
269430,Al-Shami Lebanese Restaurant And Richmond Hotel,Restaurant/Cafe/Canteen,"24-25 Walton Crescent, Oxford, Oxfordshire",OX1 2JG,5,0,5
268752,Alternative Tuck Shop,Restaurant/Cafe/Canteen,"24 Holywell Street, Oxford, Oxfordshire",OX1 3SB,0,0,0
269224,Angrid Thai Canteen,Restaurant/Cafe/Canteen,"Unit D, Threeways House, George Street",OX1 2BJ,0,0,0
1084997,Antep Kitchen,Restaurant/Cafe/Canteen,"228 - 230 Cowley Road, Oxford, Oxfordshire",OX4 1UH,5,5,5
949738,Arbequina,Restaurant/Cafe/Canteen,"74 Cowley Road, Oxford, Oxfordshire",OX4 1JB,5,5,5
938228,Artisan Cafe,Restaurant/Cafe/Canteen,"98 St Aldate's, Oxford, Oxfordshire",OX1 1BT,0,0,0
1743480,ASF HARD HAT CATERING,Restaurant/Cafe/Canteen,"Oxford North Northern Gateway Land Adjacent A44 A40 A34 And Wolvercote Roundabout, A40 Section From Cherwell District Council Boundary To Wolvercote Roundabout, Oxford",OX2 8JR,0,0,0
268407,Ashmolean Rooftop Restaurant And Cafe,Restaurant/Cafe/Canteen,"34-36 Beaumont Street, Oxford, Oxfordshire",OX1 2PG,0,0,0
268961,Asian Mama The Chinese Restaurant,Restaurant/Cafe/Canteen,"148A London Road, Headington, Oxford",OX3 9ED,0,0,5
268615,Ask,Restaurant/Cafe/Canteen,"5 George Street, Oxford, Oxfordshire",OX1 2AT,5,0,0
1700504,Babylon House Of Shawarma,Restaurant/Cafe/Canteen,"113 London Road, Headington, Oxford",OX3 9HZ,0,0,0
268460,Balliol College JCR Pantry,Restaurant/Cafe/Canteen,"Balliol College, Broad Street, Oxford",OX1 3BJ,0,0,0
841948,Banana Tree Oxford,Restaurant/Cafe/Canteen,"63 George Street, Oxford, Oxfordshire",OX1 2BQ,0,0,0
862635,Bannisters,Restaurant/Cafe/Canteen,"245 Iffley Road, Oxford, Oxfordshire",OX4 1SJ,5,0,10
1336960,Barefoot North Parade,Restaurant/Cafe/Canteen,"9 North Parade Avenue, Oxford, Oxfordshire",OX2 6LX,0,0,0
268618,Bella Italia,Restaurant/Cafe/Canteen,"14 - 16 George Street, Oxford, Oxfordshire",OX1 2AF,0,5,0
1519435,Belota,Restaurant/Cafe/Canteen,"Sir William Dunn School Of Pathology, South Parks Road, Oxford",OX1 3RE,0,0,0
268704,Belota Cafe,Restaurant/Cafe/Canteen,"John Radcliffe Hospital, Headley Way, Oxford",OX3 9DU,0,0,0
1672519,Benito's,Restaurant/Cafe/Canteen,"Ji The Chicken Shop, 128 The Westgate, Queen Street",OX1 1PB,0,5,0
1015465,Benugo Cafe At John Lewis,Restaurant/Cafe/Canteen,"John Lewis, 101 The Westgate, Queen Street",OX1 1PB,0,5,0
1426965,Bhoomi Kitchen,Restaurant/Cafe/Canteen,"70 London Road, Headington, Oxford",OX3 7PD,5,5,5
1683628,Bia Bar \& Kitchen,Restaurant/Cafe/Canteen,"38 South Parade, Oxford, Oxfordshire",OX2 7JN,0,0,0
