FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
718878,2 North Parade Stores,Retailers - other,"2 North Parade Avenue, Oxford, Oxfordshire",OX2 6LX,0,0,5
1134559,Acorn News,Retailers - other,"49 St Nicholas Road, Oxford, Oxfordshire",OX4 4PN,5,5,5
848723,Al Amin,Retailers - other,"216 Cowley Road, Oxford, Oxfordshire",OX4 1UQ,5,10,10
268378,Alcock's Butchers And Fishmongers,Retailers - other,"273A Banbury Road, Oxford, Oxfordshire",OX2 7JF,0,0,0
269262,Alden's Fishmarket,Retailers - other,"Unit 7, Ferry Mills, Osney Mead",OX2 0ES,0,0,0
1011220,Alden's Meatmaster,Retailers - other,"Unit 2, Centremead, Osney Mead",OX2 0ES,5,0,5
268534,Alders Butchers,Retailers - other,"224 Cowley Road, Oxford, Oxfordshire",OX4 1UH,5,5,0
1616669,All Mart,Retailers - other,"139 - 140 High Street, Oxford, Oxfordshire",OX1 4DN,N/A,N/A,N/A
1747306,Allied Pharmacy,Retailers - other,"Rowlands Pharmacy, Donnington Health Centre, 1 Henley Avenue",OX4 4DH,N/A,N/A,N/A
1735593,Allied Pharmacy Cowley,Retailers - other,"Rowlands Pharmacy, 17 Ivy Close, Oxford",OX4 2NB,N/A,N/A,N/A
1743488,Ark-T Centre,Retailers - other,"101 Pound Way, Oxford, Oxfordshire",OX4 3XH,N/A,N/A,N/A
759564,Asda Living,Retailers - other,"Unit 4, Templars Shopping Park, Between Towns Road",OX4 3JP,5,0,5
701759,Atif Superstore,Retailers - other,"256 Cowley Road, Oxford, Oxfordshire",OX4 1UH,5,5,5
269410,B & M Bargains,Retailers - other,"10 The Square, Oxford, Oxfordshire",OX4 3UZ,0,0,0
1011219,Baltic Food,Retailers - other,"88 - 90 Cowley Road, Oxford, Oxfordshire",OX4 1JB,5,0,5
1389990,Barefoot Bakery,Retailers - other,"9B North Parade Avenue, Oxford, Oxfordshire",OX2 6LX,5,10,5
1775585,Barton Community Larder,Retailers - other,"Barton Neighbourhood Centre, Underhill Circus, Oxford",OX3 9LS,0,0,5
1700502,Barton Leisure Centre,Retailers - other,"Barton Pool, Waynflete Road, Oxford",OX3 8GA,N/A,N/A,N/A
268477,Best One,Retailers - other,"2 Cinnaminta Road, Oxford, Oxfordshire",OX3 7JB,5,0,5
268350,Best One,Retailers - other,"75 Balfour Road, Oxford, Oxfordshire",OX4 6AG,0,10,10
269477,Best One T/A Wiggleys Corner Shop,Retailers - other,"95 - 97 Wilkins Road, Oxford, Oxfordshire",OX4 2JB,0,0,5
1368073,Bird & Blend Tea Co,Retailers - other,"23 High Street, Oxford, Oxfordshire",OX1 4AH,5,0,0
1098299,Blackbird Leys Community Fridge,Retailers - other,"Blackbird Leys Community Centre, Blackbird Leys Road, Oxford",OX4 6HW,0,5,0
949739,Bodleian Libraries Shops,Retailers - other,"New Bodleian Library, Broad Street, Oxford",OX1 3BG,0,5,5
269077,Bonn Square News,Retailers - other,"1 New Inn Hall Street, Oxford, Oxfordshire",OX1 2DH,0,0,0
269514,Bonner's,Retailers - other,"Units 20 And 49, Covered Market, Market Street",OX1 3DU,5,10,5
1011204,Boost Juice Bars,Retailers - other,"Boost, 204 The Westgate, Queen Street",OX1 1PE,5,5,0
1531121,Boots,Retailers - other,"Unit 4, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,N/A,N/A,N/A
268952,Boots UK Ltd,Retailers - other,"96 London Road, Headington, Oxford",OX3 9AJ,0,0,0
949726,Boots UK Ltd,Retailers - other,"Boots The Chemist, 8-10 Cornmarket Street, Oxford",OX1 3HL,0,5,0
1548696,Boots UK Ltd,Retailers - other,"Unit 3, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,0,0,0
1002731,Branca Food,Retailers - other,"109 Walton Street, Oxford, Oxfordshire",OX2 6AJ,0,5,5
1341271,Brasileiro,Retailers - other,"176 Cowley Road, Oxford, Oxfordshire",OX4 1UE,10,5,5
269012,Bridge Stores -,Retailers - other,"Bridge Stores, Meadow Lane, Oxford",OX4 4BL,0,0,0
1548698,Budgens,Retailers - other,"Retail Unit, Parade Green, James Wolfe Road",OX4 2WP,0,0,0
977892,Castle News,Retailers - other,"11 New Road, Oxford, Oxfordshire",OX1 1LT,0,0,5
268892,Cook,Retailers - other,"237 Banbury Road, Oxford, Oxfordshire",OX2 7HN,5,0,5
1710089,Costcutter And Post Office,Retailers - other,"7 - 9 Old Marston Road, Oxford, Oxfordshire",OX3 0JR,0,5,5
269497,Court Candy Shop,Retailers - other,"65 Woodstock Road, Oxford, Oxfordshire",OX2 6HJ,0,0,0
1804368,COWLEY CONVENIENCE STORE,Retailers - other,"193 - 195 Barns Road, Oxford, Oxfordshire",OX4 3UT,N/A,N/A,N/A
1349159,Cutteslowe Community Larder,Retailers - other,"Cutteslowe Community Centre, Wren Road, Oxford",OX2 7SX,0,0,0
1359817,Daisies Flower Shop,Retailers - other,"106 Walton Street, Oxford",OX2 6AJ,N/A,N/A,N/A
754676,Daudhar News,Retailers - other,"96 - 100 Horspath Road, Oxford, Oxfordshire",OX4 2QT,0,0,5
1680802,Dave's Convenience Store,Retailers - other,"2 Courtland Road, Oxford, Oxfordshire",OX4 4JA,0,5,5
268426,Delteys Supermarket,Retailers - other,"102-104 Blackbird Leys Road, Oxford, Oxfordshire",OX4 6HS,5,10,5
1772505,Doski News LTD,Retailers - other,"Globe Newsmarket, 2 Castle Street, Oxford",OX1 1DU,5,5,10
